node_id,ip_address,port_number,device_type,version,user,password
pve01_xr_216,192.168.1.41,22,ios xr,5.3.*,cisco,cisco
saos511,192.168.1.52,22,ios xr,5.3.*,cisco,cisco
MND-RC0002-CPE3,192.168.1.43,22,ios xr,5.3.*,cisco,cisco
ios14,192.168.1.44,22,ios xr,5.3.*,cisco,cisco
saos501,192.168.1.45,22,ios xr,5.3.*,cisco,cisco
saos502,192.168.1.46,22,ios xr,5.3.*,cisco,cisco
mnd-gt0002-bpe06.test.aorta.net,192.168.1.47,22,ios xr,5.3.*,cisco,cisco
ios_xr_10,192.168.1.49,22,ios xr,5.3.*,cisco,cisco
saos512,192.168.1.99,22,ios xr,5.3.*,cisco,cisco
saos525,192.168.1.12,22,ios xr,5.3.*,cisco,cisco
mnd-gt0002-CPE12.test,192.168.1.12,22,ios xr,5.3.*,cisco,cisco
saos513,192.168.1.12,22,ios xr,5.3.*,cisco,cisco
MND-GT0002-AS33,192.168.1.12,22,ios xr,5.3.*,cisco,cisco
MND-GT0002-AS031,192.168.1.12,22,ios xr,5.3.*,cisco,cisco
ios_xe_25,192.168.1.12,22,ios xr,5.3.*,cisco,cisco
ios_xe_26,192.168.1.12,22,ios xr,5.3.*,cisco,cisco
saos1,192.168.1.12,22,ios xr,5.3.*,cisco,cisco
saos555,192.168.1.12,22,ios xr,5.3.*,cisco,cisco
ios_xr_103,192.168.1.12,22,ios xr,5.3.*,cisco,cisco
saos514,192.168.1.12,22,ios xr,5.3.*,cisco,cisco
saos05,192.168.1.12,22,ios xr,5.3.*,cisco,cisco
saos15,192.168.1.12,22,ios xr,5.3.*,cisco,cisco
